,Unnamed: 0,item name,Время чтения,Сложность,Количество просмотров,В закладках,Комментарии,Автор,Рейтинг автора,Время публикации,Savings_per_Views,norm_ReadingTime,hour
0,0,Мультяшная графика продаётся лучше реалистичной. Так ли это на самом деле?,8,2,324.0,1,1,@Kallist,0.0,2023-05-13 19:20:00,0.0030864197530864196,0.08433734939759036,19
1,1,Picture in Picture Mode в android. Показываем видео в мини-окне,5,1,122.0,3,0,@cookie2727,0.0,2023-05-13 18:55:00,0.02459016393442623,0.04819277108433735,18
2,2,"Много нас, а GPU один. Как делиться?",6,1,1600.0,5,6,@Antra,6.1,2023-05-13 17:57:00,0.003125,0.060240963855421686,17
3,3,Ближайшие бесплатные мероприятия по разработке (13 мая — 25 мая 2023),2,1,376.0,1,0,@ITMeeting,-0.8,2023-05-13 16:27:00,0.0026595744680851063,0.012048192771084338,16
4,4,Одноплатник Orange Pi 5 Plus: характеристики и возможности продвинутого конкурента Raspberry Pi 4,4,",",3500.0,6,13,@Seleditor,49.0,2023-05-13 12:55:00,0.0017142857142857142,0.03614457831325301,12
5,5,ИИ в спортивном программировании: обзор и перспективы,19,1,919.0,3,0,@bogatrv,7.0,2023-05-13 12:41:00,0.003264417845484222,0.21686746987951808,12
6,6,Легко архивируем 1С на холодное хранилище SELECTEL,5,2,788.0,3,9,@fixin,0.0,2023-05-13 12:15:00,0.0038071065989847717,0.04819277108433735,12
7,7,Разбор Android 13 для разработчиков,22,2,2700.0,3,3,@kirich1409,6.6,2023-05-13 11:22:00,0.0011111111111111111,0.25301204819277107,11
8,8,Наследники перфокарт в мире электронных ключей,11,2,2300.0,13,7,@MaFrance351,137.3,2023-05-13 11:01:00,0.005652173913043478,0.12048192771084337,11
9,9,Деньги или репутация,8,1,9600.0,20,55,@Filyushin,86.2,2023-05-13 10:50:00,0.0020833333333333333,0.08433734939759036,10
10,10,Повышение точности решения плохо обусловленных СЛАУ методом Гаусса,4,2,1200.0,22,7,@Santelley,5.0,2023-05-13 10:43:00,0.018333333333333333,0.03614457831325301,10
11,11,Запуск автотестов Cypress в Docker контейнерах с использованием различных Docker образов,15,1,1200.0,31,4,@alex_sanzh,9.1,2023-05-13 01:00:00,0.025833333333333333,0.1686746987951807,1
12,12,Гипотеза Коллатца. Взгляд со стороны двоичной системы счислений,8,1,4500.0,23,12,@Decadans,18.0,2023-05-12 23:53:00,0.005111111111111111,0.08433734939759036,23
13,13,Шаблон для асинхронной торговой стратегии,3,1,2000.0,19,0,@wiseplat,-6.9,2023-05-12 21:42:00,0.0095,0.024096385542168676,21
14,14,"GptGram — приложение для создания контента, на базе ИИ OpenAI GPT-4 и Midjourney V5",4,1,3200.0,7,10,@martin_koval,-9.1,2023-05-12 20:54:00,0.0021875,0.03614457831325301,20
15,15,Одна миграция подобна двум пожарам: двусторонние трасты с AD DS и реализация глобального каталога в ALD Pro,7,",",1700.0,17,17,@AstraLinux_Group,10.7,2023-05-12 18:24:00,0.01,0.07228915662650602,18
16,16,Поговорим об NGFW,6,",",1700.0,10,0,@Andrey_Biryukov,65.0,2023-05-12 18:19:00,0.0058823529411764705,0.060240963855421686,18
17,17,Telegram Django Bot за пару строк,7,",",4900.0,78,0,@AlexAleskin,3.0,2023-05-12 18:15:00,0.015918367346938776,0.07228915662650602,18
18,18,Анализ сингулярного спектра,6,1,999.0,8,0,@MaxRokatansky,175.2,2023-05-12 17:48:00,0.008008008008008008,0.060240963855421686,17
19,19,Обзор книги «README. Суровые реалии разработчиков»,9,",",2900.0,34,0,@ph_piter,86.1,2023-05-12 16:50:00,0.011724137931034483,0.0963855421686747,16
20,20,Тёмная сторона Mac App Store: как скам-приложения и серые разработчики охотятся на пользователей,8,2,2500.0,15,4,@Bright_Translate,133.9,2023-05-12 16:00:00,0.006,0.08433734939759036,16
21,21,Знакомство с производственной системой «Тойоты»,10,1,3100.0,23,6,@ivshinslava,2.0,2023-05-12 15:52:00,0.007419354838709678,0.10843373493975904,15
22,22,Игровая революция: Как передовые технологии меняют геймдев,9,",",4800.0,18,12,@klimensky,80.3,2023-05-12 15:43:00,0.00375,0.0963855421686747,15
23,23,Python. Выражения в методах и индексаторах,8,1,1500.0,26,7,@Dmitry89,10.0,2023-05-12 15:30:00,0.017333333333333333,0.08433734939759036,15
24,24,Как отправлять голосовые SMS из Google Таблиц,9,1,1200.0,12,6,@AnastasiaIvanova8,11.0,2023-05-12 15:00:00,0.01,0.0963855421686747,15
25,25,Самостоятельный хостинг в 2023 году,5,2,7300.0,90,20,@JustJeremy,50.4,2023-05-12 14:51:00,0.012328767123287671,0.04819277108433735,14
26,26,"Что делать, если вы не согласны на обработку ваших персональных данных?",10,1,5800.0,76,45,@tati_neva,28.2,2023-05-12 14:30:00,0.01310344827586207,0.10843373493975904,14
